Planet,Mass (10^24kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (AU),Aphelion (AU),Orbital Period (days),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?
Mercury,0.330,3.261410056954775e-05,5429,3.7,4.3,1407.6,4222.6,5.165663254582418e-48,2.7433419675295672e-56,6.227345339721117e-48,88.0,47.4,7.0,0.206,0.034,167,0,0,No,Yes
Venus,4.87,8.091024252793726e-05,5243,8.9,10.4,-5832.5,2802.0,9.65327744638718e-48,6.411070902378879e-56,9.715729333748278e-48,224.7,35.0,3.4,0.007,177.4,464,92,0,No,No
Earth,5.97,8.526859333165629e-05,5514,9.8,11.2,23.9,24.0,1.3346860498886523e-47,8.77273050920868e-56,1.3569902953747593e-47,365.2,29.8,0.0,0.017,23.4,15,1,1,No,Yes
Moon,0.073,2.3228940249882847e-05,3340,1.6,2.4,655.7,708.7,3.4259321066660588e-50,2.164854639593984e-58,3.622209466943803e-50,27.3,1.0,5.1,0.055,6.7,-20,0,0,No,No
Mars,0.642,4.540171573444728e-05,3934,3.7,5.0,24.6,24.7,2.0341471883329728e-47,1.2327147493225246e-55,2.2241793598746057e-47,687.0,24.1,1.8,0.094,25.2,-65,0.01,2,No,No
Jupiter,1898,0.0009557890050904314,1326,23.1,59.5,9.9,9.9,6.945542044373769e-47,4.4167805677226026e-55,7.283674405943153e-47,4331,13.1,1.3,0.049,3.1,-110,Unknown,95,Yes,Yes
Saturn,568,0.0008057333933697493,687,9.0,35.5,10.7,10.7,1.2775871814442182e-46,8.096437076343782e-55,1.3440538329928172e-46,10747,9.7,2.5,0.052,26.7,-140,Unknown,274,Yes,Yes
Uranus,86.8,0.0003417027245161184,1270,8.7,21.3,-17.2,17.2,2.5578508723467687e-46,1.6297240423191408e-54,2.677758496080081e-46,30589,6.8,0.8,0.047,97.8,-195,Unknown,28,Yes,Yes
Neptune,102,0.0003310742309917116,1638,11.0,23.5,16.1,16.1,4.028146734790953e-46,2.66646875456988e-54,4.067312989864557e-46,59800,5.4,1.8,0.010,28.3,-200,Unknown,16,Yes,Yes
Pluto,0.0130,1.588257900250983e-05,1850,0.7,1.3,-153.3,153.3,5.2695118215657325e-46,2.6460129655511263e-54,6.580555371239111e-46,90560,4.7,17.2,0.244,119.5,-225,0.00001,5,No,Unknown
